Spit,Period,All.big,All.small,Material,Finds
15,LSA,47,117,Quartz.big,39
15,LSA,47,117,Quartz.small,21
15,LSA,47,117,Nonquartz.big,8
15,LSA,47,117,Nonquartz.small,96
16,LSA,18,30,Quartz.big,16
16,LSA,18,30,Quartz.small,6
16,LSA,18,30,Nonquartz.big,2
16,LSA,18,30,Nonquartz.small,24
17,LSA,26,92,Quartz.big,14
17,LSA,26,92,Quartz.small,17
17,LSA,26,92,Nonquartz.big,12
17,LSA,26,92,Nonquartz.small,75
18,LSA,61,104,Quartz.big,35
18,LSA,61,104,Quartz.small,27
18,LSA,61,104,Nonquartz.big,26
18,LSA,61,104,Nonquartz.small,77
20,LSA,63,111,Quartz.big,43
20,LSA,63,111,Quartz.small,38
20,LSA,63,111,Nonquartz.big,20
20,LSA,63,111,Nonquartz.small,73
21,LSA,41,130,Quartz.big,27
21,LSA,41,130,Quartz.small,17
21,LSA,41,130,Nonquartz.big,14
21,LSA,41,130,Nonquartz.small,113
22,LSA,39,162,Quartz.big,28
22,LSA,39,162,Quartz.small,39
22,LSA,39,162,Nonquartz.big,11
22,LSA,39,162,Nonquartz.small,123
23,LSA,22,37,Quartz.big,14
23,LSA,22,37,Quartz.small,7
23,LSA,22,37,Nonquartz.big,8
23,LSA,22,37,Nonquartz.small,30
24,LSA,35,109,Quartz.big,25
24,LSA,35,109,Quartz.small,16
24,LSA,35,109,Nonquartz.big,10
24,LSA,35,109,Nonquartz.small,93
25,LSA,36,125,Quartz.big,18
25,LSA,36,125,Quartz.small,51
25,LSA,36,125,Nonquartz.big,18
25,LSA,36,125,Nonquartz.small,74
26,LSA,39,185,Quartz.big,16
26,LSA,39,185,Quartz.small,26
26,LSA,39,185,Nonquartz.big,23
26,LSA,39,185,Nonquartz.small,159
27,LSA,46,111,Quartz.big,22
27,LSA,46,111,Quartz.small,17
27,LSA,46,111,Nonquartz.big,24
27,LSA,46,111,Nonquartz.small,94
28,LSA,52,186,Quartz.big,28
28,LSA,52,186,Quartz.small,23
28,LSA,52,186,Nonquartz.big,24
28,LSA,52,186,Nonquartz.small,163
29,LSA,36,58,Quartz.big,24
29,LSA,36,58,Quartz.small,8
29,LSA,36,58,Nonquartz.big,12
29,LSA,36,58,Nonquartz.small,50
30,LSA,64,153,Quartz.big,43
30,LSA,64,153,Quartz.small,28
30,LSA,64,153,Nonquartz.big,21
30,LSA,64,153,Nonquartz.small,125
32,LSA,87,203,Quartz.big,68
32,LSA,87,203,Quartz.small,51
32,LSA,87,203,Nonquartz.big,19
32,LSA,87,203,Nonquartz.small,152
33,LSA,96,127,Quartz.big,81
33,LSA,96,127,Quartz.small,34
33,LSA,96,127,Nonquartz.big,15
33,LSA,96,127,Nonquartz.small,93
34,LSA,76,206,Quartz.big,69
34,LSA,76,206,Quartz.small,54
34,LSA,76,206,Nonquartz.big,7
34,LSA,76,206,Nonquartz.small,152
36,LSA,64,137,Quartz.big,57
36,LSA,64,137,Quartz.small,44
36,LSA,64,137,Nonquartz.big,7
36,LSA,64,137,Nonquartz.small,93
37,LSA,69,59,Quartz.big,60
37,LSA,69,59,Quartz.small,26
37,LSA,69,59,Nonquartz.big,9
37,LSA,69,59,Nonquartz.small,33
38,LSA,53,135,Quartz.big,49
38,LSA,53,135,Quartz.small,31
38,LSA,53,135,Nonquartz.big,4
38,LSA,53,135,Nonquartz.small,104
39,LSA,50,87,Quartz.big,45
39,LSA,50,87,Quartz.small,19
39,LSA,50,87,Nonquartz.big,5
39,LSA,50,87,Nonquartz.small,68
40,LSA,31,96,Quartz.big,27
40,LSA,31,96,Quartz.small,37
40,LSA,31,96,Nonquartz.big,4
40,LSA,31,96,Nonquartz.small,59
41,LSA,115,139,Quartz.big,103
41,LSA,115,139,Quartz.small,69
41,LSA,115,139,Nonquartz.big,12
41,LSA,115,139,Nonquartz.small,70
42,LSA,178,334,Quartz.big,150
42,LSA,178,334,Quartz.small,106
42,LSA,178,334,Nonquartz.big,28
42,LSA,178,334,Nonquartz.small,228
43,LSA,137,148,Quartz.big,120
43,LSA,137,148,Quartz.small,43
43,LSA,137,148,Nonquartz.big,17
43,LSA,137,148,Nonquartz.small,105
44,Transition,123,263,Quartz.big,108
44,Transition,123,263,Quartz.small,67
44,Transition,123,263,Nonquartz.big,15
44,Transition,123,263,Nonquartz.small,196
45,Transition,107,139,Quartz.big,84
45,Transition,107,139,Quartz.small,32
45,Transition,107,139,Nonquartz.big,23
45,Transition,107,139,Nonquartz.small,107
46,MSA,88,298,Quartz.big,58
46,MSA,88,298,Quartz.small,64
46,MSA,88,298,Nonquartz.big,30
46,MSA,88,298,Nonquartz.small,234
47,MSA,106,239,Quartz.big,79
47,MSA,106,239,Quartz.small,24
47,MSA,106,239,Nonquartz.big,27
47,MSA,106,239,Nonquartz.small,215
48,MSA,67,366,Quartz.big,37
48,MSA,67,366,Quartz.small,30
48,MSA,67,366,Nonquartz.big,30
48,MSA,67,366,Nonquartz.small,336
49,MSA,89,374,Quartz.big,30
49,MSA,89,374,Quartz.small,15
49,MSA,89,374,Nonquartz.big,59
49,MSA,89,374,Nonquartz.small,359
50,MSA,91,489,Quartz.big,13
50,MSA,91,489,Quartz.small,17
50,MSA,91,489,Nonquartz.big,78
50,MSA,91,489,Nonquartz.small,472
51,MSA,76,436,Quartz.big,23
51,MSA,76,436,Quartz.small,12
51,MSA,76,436,Nonquartz.big,53
51,MSA,76,436,Nonquartz.small,424
52,MSA,70,575,Quartz.big,15
52,MSA,70,575,Quartz.small,12
52,MSA,70,575,Nonquartz.big,55
52,MSA,70,575,Nonquartz.small,563
53,MSA,41,421,Quartz.big,6
53,MSA,41,421,Quartz.small,3
53,MSA,41,421,Nonquartz.big,35
53,MSA,41,421,Nonquartz.small,418
54,MSA,42,453,Quartz.big,6
54,MSA,42,453,Quartz.small,8
54,MSA,42,453,Nonquartz.big,36
54,MSA,42,453,Nonquartz.small,445
55,MSA,44,235,Quartz.big,7
55,MSA,44,235,Quartz.small,0
55,MSA,44,235,Nonquartz.big,37
55,MSA,44,235,Nonquartz.small,235
56,MSA,52,203,Quartz.big,6
56,MSA,52,203,Quartz.small,2
56,MSA,52,203,Nonquartz.big,46
56,MSA,52,203,Nonquartz.small,201
57,MSA,25,99,Quartz.big,3
57,MSA,25,99,Quartz.small,1
57,MSA,25,99,Nonquartz.big,22
57,MSA,25,99,Nonquartz.small,98
58,MSA,39,161,Quartz.big,6
58,MSA,39,161,Quartz.small,7
58,MSA,39,161,Nonquartz.big,33
58,MSA,39,161,Nonquartz.small,154
59,MSA,25,177,Quartz.big,2
59,MSA,25,177,Quartz.small,6
59,MSA,25,177,Nonquartz.big,23
59,MSA,25,177,Nonquartz.small,171
60,MSA,33,154,Quartz.big,10
60,MSA,33,154,Quartz.small,4
60,MSA,33,154,Nonquartz.big,23
60,MSA,33,154,Nonquartz.small,150
61,MSA,23,103,Quartz.big,9
61,MSA,23,103,Quartz.small,12
61,MSA,23,103,Nonquartz.big,14
61,MSA,23,103,Nonquartz.small,91
