Spit,Period,All.big,All.small,Quartz.big,Quartz.small,Nonquartz.big,Nonquartz.small
15,LSA,47,117,39,21,8,96
16,LSA,18,30,16,6,2,24
17,LSA,26,92,14,17,12,75
18,LSA,61,104,35,27,26,77
20,LSA,63,111,43,38,20,73
21,LSA,41,130,27,17,14,113
22,LSA,39,162,28,39,11,123
23,LSA,22,37,14,7,8,30
24,LSA,35,109,25,16,10,93
25,LSA,36,125,18,51,18,74
26,LSA,39,185,16,26,23,159
27,LSA,46,111,22,17,24,94
28,LSA,52,186,28,23,24,163
29,LSA,36,58,24,8,12,50
30,LSA,64,153,43,28,21,125
32,LSA,87,203,68,51,19,152
33,LSA,96,127,81,34,15,93
34,LSA,76,206,69,54,7,152
36,LSA,64,137,57,44,7,93
37,LSA,69,59,60,26,9,33
38,LSA,53,135,49,31,4,104
39,LSA,50,87,45,19,5,68
40,LSA,31,96,27,37,4,59
41,LSA,115,139,103,69,12,70
42,LSA,178,334,150,106,28,228
43,LSA,137,148,120,43,17,105
44,Transition,123,263,108,67,15,196
45,Transition,107,139,84,32,23,107
46,MSA,88,298,58,64,30,234
47,MSA,106,239,79,24,27,215
48,MSA,67,366,37,30,30,336
49,MSA,89,374,30,15,59,359
50,MSA,91,489,13,17,78,472
51,MSA,76,436,23,12,53,424
52,MSA,70,575,15,12,55,563
53,MSA,41,421,6,3,35,418
54,MSA,42,453,6,8,36,445
55,MSA,44,235,7,0,37,235
56,MSA,52,203,6,2,46,201
57,MSA,25,99,3,1,22,98
58,MSA,39,161,6,7,33,154
59,MSA,25,177,2,6,23,171
60,MSA,33,154,10,4,23,150
61,MSA,23,103,9,12,14,91
